judul,label
"
Sri Mulyani Blokir Anggaran K/L Rp 50 T di 2024, Ini Alasannya
",Positif
"
Anies Sindir RI Banjir Perusahaan-Pekerja Asing demi Buka Lapangan Kerja
",Positif
"
Kala Sri Mulyani 'Sembunyi-sembunyi' Bertemu Jokowi
",Negatif
"
Masuk Radar OJK Danacita Klaim Masih Kerja Sama dengan Kampus, Segini Jumlahnya
",Netral
"
Ogah Dibilang Pinjol, Bos Danacita Pastikan Salurkan Dana Langsung ke Kampus
",Positif
"
Basuki Pindah ke IKN Juli 2024, Sudah Sampai Mana Progresnya?
",Netral
"
Mahfud Mundur dari Menkopolhukam, Erick Thohir: Saya Bantu Jokowi hingga Selesai
",Positif
"
Argentina Memanas Menentang Reformasi Ekonomi
",Negatif
"
Bos Raksasa Migas Italia Menghadap Jokowi, Mau Investasi Rp 249 T
",Positif
"
Investor Asing IKN Dapat Kelonggaran Golden Visa, Minimal Investasi Rp 78 M
",Positif
"
Erick Thohir Kirim Surat Minta Divestasi Vale Dipercepat
",Negatif
"
Kapal Tanker RI Lolos dari Houthi di Laut Merah Milik PIS, Lanjut ke Terusan Suez
",Positif
"
Pilpres 2024, Basuki Bakal Pilih Siapa? Ini Jawabannya
",Negatif
"
Mengubah Sampah Plastik Jadi Bunga Cantik
",Positif
"
Sri Mulyani Sebut Masyarakat yang Dapat Bansos Harus Tahu Uangnya Dari Mana
",Negatif
"
Pertamina Tahan Harga BBM saat Shell cs Naik, Menteri ESDM Bilang Begini
",Positif
"
Kembangkan Mobil Listrik, Volkswagen Bakal Investasi Rp 28,6 T di Brazil!
",Positif
"
Pengusaha Keluhkan Aturan Pengetatan Impor, Begini Respons Kemendag
",Netral
"
RI Incar Minyak Venezuela, Ada Potensi 12 Miliar Barel
",Positif
"
Kredit Macet-CEO Mundur, OJK Dalami Masalah Investree
",Negatif
"
Menhub Cek Terminal Leuwipanjang Sebelum Diresmikan Jokowi Besok
",Netral
"
Warga Asal Malaysia Didenda Rp 352 Juta di Singapura Gegara Ini
",Negatif
"
Industri Manufaktur Inggris Terdampak Konflik Laut Merah
",Negatif
"
Hilirisasi Disebut Ugal-ugalan, Eks Mendag: Emang yang Mau Jaga Lingkungan Dia Aja?
",Negatif
"
Ada Jasa Hapus Catatan Kredit yang Jelek, OJK Pastikan Penipuan!
",Negatif
"
Laut Merah Memanas, Harga Minyak Mentah RI Naik Jadi US$ 77,12/Barel
",Negatif
"
Meta Tebar Dividen untuk Pertama Kali, Zuckerberg Kebagian Rp 11 Triliun!
",Positif
"
Bikin Kaget, Kapal Tanker Minyak RI Bisa Lolos dari Houthi di Laut Merah
",Positif
"
Bagi-Bagi Hadiah, Pegadaian Undi Pegadaian POIN Periode II
",Positif
"
Disuruh Investor Kecangkan Ikat Pinggang, Zoom PHK 150 Orang
",Negatif
"
Menhub Ungkap Minat UEA Ikut Kelola Kertajati hingga Pelabuhan Patimban
",Netral
"
Potret Keriuhan Stasiun Bekasi yang Eskalatornya 100 Hari Mati
",Negatif
"
Dorong Inklusi Keuangan, OJK Buka Akses Modul Pelatihan buat Peserta Prakerja
",Positif
"
UMKM Kini Lebih Mudah Dapat Akses Kredit buat Beli Kios di Pasar
",Positif
"
Pemilu Bikin Industri Manufaktur Bergairah, Menperin Beberkan Buktinya
",Positif
"
Jokowi Panggil Sri Mulyani ke Istana Siang Ini, Ada Apa Nih?
",Netral
"
Elon Musk Kehilangan Rp 878 T Gegara Musisi Metal Ini, Kok Bisa?
",Negatif
"
Geber Bisnis Logistik, KAI Perluas Layanan Antar-Jemput Paket
",Positif
"
Ketemu Menteri Energi Arab, Luhut Lanjut Lobi Kendaraan Listrik-Investasi IKN
",Positif
"
Bulog Pastikan Bantuan Beras Bukan untuk Kepentingan Politik
",Netral
"
Bappenas Ungkap Persentase Kontribusi Greentech Terhadap PDB Indonesia
",Positif
"
Berantas Kemiskinan Lewat Gerakan #ManfaatHebat
",Positif
"
Pembangunan LRT Bali Ditarget September 2024, Rutenya Ngurah Rai-Kuta
",Positif
"
Deutsche Bank Mau PHK 3.500 Karyawan!
",Negatif
"
Shinhan Indo Finance Ekspansi ke Jatim, Buka Kantor & Cabang di Surabaya
",Positif
"
Menteri ESDM Buka Suara Kantornya Retak Gegara Pembangunan Gedung BSI
",Negatif
"
Dolar AS Melempem, Balik ke Zona Rp 15.600-an
",Negatif
"
Jokowi Buka-bukaan Alasan Bagi-bagi Sederet Bansos Jelang Pemilu
",Negatif
"
Shell Bukukan Laba Rp 441 T Sepanjang 2023, Anjlok 30%!
",Negatif
"
Bos Badan Pangan Ungkap Alasan Bantuan Beras Tak Lagi dari Kemensos
",Negatif
"
Bagi-bagi BLT Jelang Pemilu, Jokowi: Sudah Melalui Persetujuan DPR
",Positif
"
IHSG Dibuka Menguat ke 7.217 Jelang Akhir Pekan
",Positif
"
Sepekan Beroperasi, KA Papandayan & KA Pangandaran Angkut 3.320 Penumpang
",Positif
"
Elon Musk 'Ngamuk', Bonus Rp 882 T dari Tesla Dibatalkan
",Negatif
"
UMKM Sandal-Sepatu Asal Bogor Raih Penghargaan Shopee Super Awards 2023
",Positif
"
Kapan Pemerintah Setop Impor Beras? Ini Jawabannya
",Positif
"
Podcast: Jadi PNS Masih Relevan Amankan Masa Depan?
",Netral
"
Mahfud Md Titip ke Jokowi Kejar Terus Obligor BLBI
",Positif
"
Drama 100 Hari 'Wafatnya' Eskalator Stasiun Bekasi
",Negatif
"
Mengintip Rumah Emma Stone di LA yang Dijual Rp 62 M
",Positif
"
Sanksi Bank-Pinjol Langgar Aturan Penagihan: Cabut Izin Usaha-Denda Rp 15 M
",Negatif
"
Giliran Pengusaha Buka Suara soal Heboh Isu Sri Mulyani-Basuki Mau Mundur
",Netral
"
Biaya Pasang PLTS di Rumah, Berikut Simulasinya
",Netral
"
Cara Tukar Uang Koin Rp 1.000 Kelapa Sawit dan Rp 500 Melati di BI
",Positif
"
Selisih Kenaikan Gaji Pensiunan Mulai Cair, PNS-TNI/Polri Baru Maret
",Positif
"
Luhut Beberkan Capaian Ekonomi RI di Tangan Jokowi Diakui Dunia
",Positif
"
Catat! Aturan Bagasi Kereta 20 Kg, Cek Penjelasannya di Sini
",Netral
"
Ancam Penyalur Nakal, Mentan Pastikan Petani Bawa KTP Tebus Pupuk Subsidi
",Positif
"
Sebut Investasi Masuk Rp 40 T, Ridwan Kamil Tepis IKN Sepi Peminat
",Negatif
"
Erick Thohir: Sangat Tidak Masuk Akal Ide Gantikan BUMN dengan Koperasi!
",Negatif
"
Momen Pose 2 Jari Erick Thohir hingga Ridwan Kamil di Depan Gambar Prabowo-Gibran
",Positif
"
Erick Thohir Sebut Jokowi Bawa Ekonomi RI ke 13 Besar Dunia, Dilanjutkan Prabowo!
",Positif
"
Jokowi Bagi-bagi 3.000 Sertifikat Tanah di Jawa Barat
",Positif
"
Terkuak Isi Pembicaraan Sri Mulyani dengan Megawati
",Netral
"
Erick Thohir Ungkap Kondisi Kabinet Jokowi, Minta Menteri Tak Curhat ke Rakyat
",Negatif
"
Singgung Mahfud Mundur, Erick Thohir: Saya Tetap Bekerja untuk Pak Jokowi!
",Positif
"
Siapa yang Cocok Gantikan Ahok Jadi Komut Pertamina? Ini Jawaban Erick Thohir
",Positif
"
Erick Thohir Respons Ahok Mundur dari Pertamina karena Pilih Ganjar-Mahfud
",Negatif
"
Jokowi Ungkap Kemacetan di Jabodetabek Bikin Rugi Rp 100 Triliun/Tahun
",Negatif
"
Resmikan 2 Terminal di Jabar, Jokowi: Bisa Percepat Mobilitas
",Positif
"
Bicara Energi Hijau, Erick Thohir: Apa Siap yang Kemarin Tren, Greenflation?
",Positif
"
Jokowi Minta Masyarakat Beralih ke Transportasi Umum Biar Nggak Macet
",Netral
"
Mengenang Wee Cho Yaw, Legenda Perbankan Singapura yang Wafat di Usia 95 Tahun
",Netral
"
459 Cabang BSI Buka di Akhir Pekan, Ini Layanan Transaksi yang Tersedia
",Positif
"
Vietnam Mau Bikin Food Estate Seperti RI, Tanam Padi Bersih 1 Juta Ha
",Positif
"
Erick Thohir Puji Pertamina Tidak Naikkan Harga Pertamax cs
",Negatif
"
Pendiri UOB Indonesia, Wee Cho Yaw Wafat di Usia 95 Tahun
",Negatif
"
Erick Thohir Respons Bagi-bagi Bansos-BLT Dikritik: Apa yang Salah?
",Negatif
"
Jokowi Optimis Produk UMKM Nasabah PNM Bisa Bersaing dengan Negara Lain
",Positif
"
Jokowi Resmikan 2 Terminal di Jawa Barat, Total Proyeknya Telan Rp 147 M
",Positif
"
Student Loan RI Masih Dikaji, Seperti Apa Kenyataannya di AS?
",Negatif
"
459 Cabang BSI Layani Weekend Banking Sepanjang Februari 2024
",Netral
"
Luhut Ungkap Banyak Negara Bingung Jokowi Berani Setop Ekspor Bahan Mentah
",Negatif
"
Pernak-pernik Imlek Mulai Diserbu Warga
",Negatif
"
Luhut Klaim Program Hilirisasi Jokowi Diakui Dunia, Afrika Jadikan RI Contoh
",Positif
"
Dear Gen Z, Jangan Lakukan Ini Kalau Nggak Mau Gagal Wawancara Kerja
",Negatif
"
Luhut Ungkap Alasan Dukung Prabowo-Gibran di Pilpres 2024
",Negatif
"
Luhut Balas yang Suka Kritik Kereta Cepat: Sekarang Semua Menikmati!
",Positif
"
Luhut Ingatkan Jangan Salah Pilih Pemimpin, Singgung Capaian Besar Jokowi
",Positif
"
Luhut Wanti-wanti yang Dibutuhkan Indonesia Keberlanjutan, Tidak Perubahan!
",Negatif
"
Benar Nggak Sih, Sewa Rumah Lebih Baik Dibandingkan Beli?
",Positif
"
Luhut Tolak Keras Gibran Disebut Anak Ingusan, Ini Alasannya
",Negatif
"
OJK Terbitkan Aturan Baru BPR Biar Nggak Gulung Tikar, Cek di Sini!
",Positif
"
Luhut Umumkan Pilih Prabowo-Gibran, Ini Alasannya!
",Positif
"
Luhut Ungkap Kenal Prabowo Hampir 40 Tahun, Puji Gibran Tata Solo
",Positif
"
Daftar Harga BBM Februari di Semua SPBU, Ada yang Naik Buruan Cek!
",Negatif
"
Harga Emas Hari Ini Ambruk! Cek Rinciannya dari 0,5 Gram-1 Kg
",Negatif
"
3 Klaim Danacita Usai Viral Bayar Biaya Kuliah Pakai Pinjol
",Negatif
"
Kala Jokowi Buka Suara soal Heboh Bansos Disebar Jelang Pemilu
",Negatif
"
BRI Hadirkan Kemudahan Investasi ORI Lewat Aplikasi BRImo
",Positif
"
Hati-hati Penipuan Berkedok Jasa Hapus Catatan Kredit Buruk, Begini Modusnya
",Negatif
"
Bisakah Indonesia Setop Impor Beras?
",Negatif
"
Terkuak Cerita di Balik Kapal Tanker RI Lolos dari Houthi di Laut Merah
",Negatif
"
6 Pernyataan Keras Anies Sentil Pembangunan IKN
",Netral.
"
Perjalanan Ahok Jadi Komut Pertamina hingga Mundur karena Dukung Ganjar-Mahfud
",Negatif
"
Bansos Disebar Jelang Pemilu Tuai Kritik Keras, Jokowi Langsung Buka Suara
",Negatif
"
Kilas Balik Sri Mulyani Diisukan Mundur hingga Dipanggil Jokowi ke Istana
",Negatif
"
Idepreneurs Bukti Nyata Anak Muda Kreatif-Berkumpul untuk Hal Positif
",Positif
"
Janji Prabowo Hilangkan Kemiskinan dan Kelaparan Jika Jadi Presiden
",Positif
"
Anies & Ganjar Soroti Pinjol Jadi Alternatif Biaya Kuliah
",Positif
"
Anies Singgung Beri Bansos Jangan Dirapel dan Tak Dibagikan di Pinggir Jalan
",Negatif
"
Anies Janji Bagi-bagi Bansos Plus, Apa Maksudnya?
",Positif
"
Alasan Prabowo Mau Bagi-bagi Makanan: Banyak Orang Penghasilannya Rp 1 Juta
",Positif
"
Anies: Negara Jangan Pelit Sama Guru, Jangan Memberikan Seminim Mungkin
",Positif
"
Janji Anies Jika Terpilih: Angkat 700 Ribu Guru Honorer Jadi PPPK
",Positif
"
Gaji Guru Rp 300 Ribu, Ganjar: Sungguh Tidak Adil Pemerintah Ini!
",Negatif
"
Apa Itu Dana Abadi Kebudayaan yang Dijanjikan Prabowo di Debat Capres?
",Netral
"
Prabowo Sebut Banyak Kebocoran Alokasi Dana Pendidikan
",Negatif
"
Lestarikan Budaya, Prabowo Mau Bentuk Dana Abadi Kebudayaan
",Netral
"
Prabowo Sebut Kalau Pabrik Ponsel Setengah Triliun, Segera Bangun!
",Positif
"
Anies soal Bansos: Bukan untuk Keperluan yang Memberi, tapi untuk yang Diberi
",Positif
"
Anies Sebut 45 Juta Orang Belum Bekerja Layak, 70 Juta Tidak Punya Jaminan Sosial
",Negatif
"
Bicara Ketimpangan, Anies: Segelintir Orang Kuasai Ekonomi Negara Kita
",Negatif
"
Prabowo Janji Beri Makanan Bergizi Sejak Dalam Kandungan, Bisa Kerek Ekonomi 2%
",Positif
"
Prabowo Janjikan Bangun 3 Juta Rumah Bagi Masyarakat RI
",Positif
"
Prabowo Janji Bakal Perbaiki Gaji Guru-Honorer
",Positif
"
Erick Thohir Buka-bukaan Alasan Harga BBM Tidak Naik Jelang Pilpres
",Positif
"
Telan Biaya Rp 32,4 Miliar, Intip Indahnya Embung Wanakaya di Indramayu
",Negatif
"
Diumumkan Besok, Pertumbuhan Ekonomi RI Sepanjang 2023 Diprediksi 5,02-5,06%
",Positif
"
Tinjau Terminal Guntur di Garut, Menhub: Bersih-Bebas Preman
",Negatif
"
Catat Bos! Karyawan Masuk Saat Pemilu Berhak Dapat Uang Lembur
",Positif
"
Bank Mega Gelar Penukaran Poin, Jeruk Ponkam 2 Kg Cuma Rp 1
",Positif
"
Kemenhub Ajak Pemda dan Dishub Proaktif di Program Revitalisasi Terminal
",Positif
"
Kemenhub Bakal Revitalisasi Terminal Tipe A Cicaheum
",Positif
"
Petani Sedih Impor Beras Dilakukan Saat Panen Raya
",Negatif
